Nuclei,Core Z,Core N,Core A,orbital,B. E. (MeV),error(MeV),Paper,Exp. name
8He_Lam,2,5,7,0,7.16,0.7,"Davis, Nucl. Phys. A 754 (2005) 3c",
9Li_Lam,3,5,8,0,8.5,0.12,,
10Be_Lam,4,5,9,0,9.11,0.22,,
10B_Lam,5,4,9,0,8.89,0.12,,
11B_Lam,5,5,10,0,10.24,0.05,,
12B_Lam,5,6,11,0,11.37,0.06,,
12C_Lam,6,5,11,0,10.76,0.19,,
13C_Lam,6,6,12,0,11.69,0.12,,
16N_Lam,7,8,15,0,13.76,0.16,,
16N_Lam,7,8,15,1,2.84,0.16,,
16O_Lam,8,7,15,0,12.5,0.35,,
16O_Lam,8,7,15,1,1.85,0.05,,
28Si_Lam,14,13,27,0,16.6,0.2,,
28Si_Lam,14,13,27,1,7,0.2,,
32S_Lam,16,15,31,0,17.5,0.5,,
40Ca_Lam,20,19,39,0,18.7,1.1,,
51V_Lam,23,27,50,0,19.9,1,,
51V_Lam,23,27,50,1,11.28,0.6,,
89Y_Lam,39,49,88,0,23.1,0.5,,
89Y_Lam,39,49,88,1,16.5,4.1,,
89Y_Lam,39,49,88,2,9.1,1.3,,
89Y_Lam,39,49,88,3,2.3,1.2,,
139La_Lam,57,81,138,0,24.5,1.2,,
139La_Lam,57,81,138,1,20.4,0.6,,
139La_Lam,57,81,138,2,14.3,0.6,,
139La_Lam,57,81,138,3,8,0.6,,
139La_Lam,57,81,138,4,1.5,0.6,,
208Pb_Lam,82,125,207,0,26.3,0.8,,
208Pb_Lam,82,125,207,1,21.9,0.6,,
208Pb_Lam,82,125,207,2,16.8,0.7,,
208Pb_Lam,82,125,207,3,11.7,0.6,,
208Pb_Lam,82,125,207,4,6.6,0.6,,